Date,Company SEDOL,return,abs_return,severity,reason,review_status,suggested_action,reviewer,review_notes,approved_action,corrected_return
2018-06-26,T7HRLL-R,1.0035145282745361,1.0035145282745361,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2022-05-05,T7HRLL-R,1.0034186840057373,1.0034186840057373,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2019-02-05,T7HRLL-R,1.0032427310943604,1.0032427310943604,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2006-09-28,GQHZLK-R,1.0031516551971436,1.0031516551971436,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2018-10-25,BBD288-R,1.0028998851776123,1.0028998851776123,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-11-18,GYM5PB-R,1.0027630600000002,1.0027630600000002,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2017-03-14,H46TW9-R,1.0027190446853638,1.0027190446853638,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-10-28,VW1H7G-R,1.0024032592773438,1.0024032592773438,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2023-10-25,K8YRNT-R,1.002361536026001,1.002361536026001,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-10-20,QBCTL6-R,1.0023167133331299,1.0023167133331299,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-09-09,H6ZV58-R,1.0023014545440674,1.0023014545440674,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2020-01-02,MLM8LN-R,1.0022780895233154,1.0022780895233154,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-06-11,VW1H7G-R,1.0021450519561768,1.0021450519561768,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-08-22,J5RFMZ-R,1.001979112625122,1.001979112625122,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2019-10-14,GM3PSR-R,1.0019044876098633,1.0019044876098633,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2019-03-11,T7HRLL-R,1.001871109008789,1.001871109008789,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-03-19,PTY2W8-R,1.0018281936645508,1.0018281936645508,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2023-07-31,JBLXCY-R,1.0018138885498047,1.0018138885498047,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2019-08-29,T7HRLL-R,1.0016264915466309,1.0016264915466309,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2021-07-16,GM3PSR-R,1.0016088485717773,1.0016088485717773,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-05-09,K80C6V-R,1.0015970468521118,1.0015970468521118,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-05-30,LG0DHY-R,1.001575231552124,1.001575231552124,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-07-17,P52239-R,1.0015532970428467,1.0015532970428467,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-12-17,X32NYV-R,1.0015239715576172,1.0015239715576172,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
